Chinese,English,Pinyin
爱心,Love,àixīn
安排,arrange,ānpái
安装,Install,ānzhuāng
按照,according to,ànzhào
把握,grasp,bǎwò
白菜,Chinese cabbage,báicài
班级,class,bānjí
搬家,move place,bān∥jiā
办理,Processing,bànlǐ
保持,Keep,bǎochí
保存,save,bǎocún
保护,Protect,bǎohù
保留,reserve,bǎoliú
保险,Insurance,bǎoxiǎn
保证,ensure,bǎozhèng
保安,security guard,bǎo’ān
报到,check in,bào∥dào
报道,Report,bàodào
报告,Report,bàogào
北部,North,běibù
背后,behind,bèihòu
被子,Quilt,bèizi
本来,originally,běnlái
本领,ability,běnlǐng
本事,ability,běnshi
比较,Compare,bǐjiào
比例,Proportion,bǐlì
比赛,Contest,bǐsài
必然,inevitable,bìrán
必要,necessary,bìyào
变化,change,biànhuà
变为,Become,biànwéi
标题,title,biāotí
标准,standard,biāozhǔn
表达,Express,biǎodá
表格,sheet,biǎogé
表面,surface,biǎomiàn
表明,show,biǎomíng
表现,Performance,biǎoxiàn
表演,Performance,biǎoyǎn
并且,and,bìngqiě
播出,Broadcast,bōchū
播放,Play,bōfàng
不必,No need,búbì
不断,Continuous,búduàn
不论,whether,búlùn
补充,Replenish,bǔchōng
不光,not only,bùguāng
不仅,not only,bùjǐn
部门,department,bùmén
部长,minister,bùzhǎng
不安,disturbed,bù’ān
才能,Talent,cáinéng
采取,take,cǎiqǔ
彩色,color,cǎisè
采用,use,cǎiyòng
曾经,once,céngjīng
产生,produce,chǎnshēng
长城,Great Wall,Chángchéng
长处,Strengths,chángchù
长期,long,chángqī
场合,occasion,chǎnghé
场所,place,chǎngsuǒ
超级,super,chāojí
吵架,quarrel,chǎo∥jià
衬衫,shirt,chènshān
衬衣,shirt,chènyī
称为,Called,chēngwéi
程度,degree,chéngdù
成功,success,chénggōng
成果,Results,chéngguǒ
成就,Achievement,chéngjiù
成立,Established,chénglì
城市,City,chéngshì
成熟,Mature,chéngshú
成员,member,chéngyuán
成长,growing up,chéngzhǎng
持续,continued,chíxù
充满,full,chōngmǎn
初步,Preliminary,chūbù
初级,primary,chūjí
初中,junior high school,chūzhōng
除了,Apart from,chúle
处理,deal with,chǔlǐ
传播,spread,chuánbō
传来,It came,chuánlái
传说,legend,chuánshuō
创新,Innovation,chuàngxīn
创业,Entrepreneurship,chuàngyè
创造,create,chuàngzào
创作,creation,chuàngzuò
从来,Never,cónglái
从前,Once upon a time,cóngqián
从事,Engaged in,cóngshì
存在,exist,cúnzài
错误,mistake,cuòwù
达到,achieve,dá∥dào
打破,break in,dǎ∥pò
打听,inquire about,dǎting
大概,perhaps,dàgài
大约,About,dàyuē
